approval_id,approval_name,industry,department,authority_id,why_required,applicability_conditions,required_documents,prerequisites,parallelizable,inspection_required,renewal,sla,official_url,source_id,last_verified,notes
BRL-001,Form BRL Licence — Constructing and Working a Brewery for Manufacture of Beer,brewery,Maharashtra State Excise Department,AUTH-EXCISE,"Statutory licence required under Rule 3(2) of the Maharashtra Manufacture of Beer and Wine Rules, 1966 to construct and operate a brewery manufacturing beer.","{""all"":[{""field"":""industry"",""op"":""equals"",""value"":""brewery""},{""field"":""state"",""op"":""equals"",""value"":""Maharashtra""}]}",DOC-001;DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-007;DOC-008;DOC-009;DOC-010;DOC-011,MPCB Consent to Establish (letter-of-intent stage); MPCB Consent to Operate (licence stage); Fire NOC (stage unspecified),unknown,unknown,unknown,unknown,https://stateexcise.maharashtra.gov.in/1251/BRL-%28Beer%29?format=print,SRC-001,2026-09-10,"Core approval. Checklist page reconciles with an older 2014-reviewed page — see SRC-001 staleness flag.
Applies to any person/entity proposing to construct and work a standalone brewery for manufacture of beer in Maharashtra. Does NOT cover the separate BRL microbrewery (restaurant-based) licence — not modeled in this dataset."
MPCB-CTE-001,MPCB Consent to Establish,brewery,Maharashtra Pollution Control Board,AUTH-MPCB,"Required under the Water and Air Acts for any industry/operation likely to discharge effluent or emit air pollution, before commencement of establishment works.","{""all"":[{""field"":""industry"",""op"":""equals"",""value"":""brewery""},{""field"":""state"",""op"":""equals"",""value"":""Maharashtra""}]}",DOC-019;DOC-002;DOC-020;DOC-023;DOC-021;DOC-022,,N/A — upstream in the chain relative to BRL-001,unknown,unknown,unknown,https://www.mpcb.gov.in/en/consentmgt/water-and-air-act,SRC-002,2026-09-10,"Exact MPCB category (and therefore exact fee/validity) not established by this research pass; depends on capital investment and pollution profile.
Applies before actual commencement of works establishing the brewery."
MPCB-CTO-001,MPCB Consent to Operate,brewery,Maharashtra Pollution Control Board,AUTH-MPCB,"Required before commencement of production, including trial production, once the plant and required pollution-control systems are established.","{""all"":[{""field"":""industry"",""op"":""equals"",""value"":""brewery""},{""field"":""state"",""op"":""equals"",""value"":""Maharashtra""}]}",DOC-019;DOC-002;DOC-020;DOC-023;DOC-021;DOC-006;DOC-022,MPCB Consent to Establish must be obtained first — explicitly evidenced (see dependencies.csv).,no — sequential after MPCB-CTE-001,unknown,"yes — renewal explicitly mentioned by source, exact period not established",unknown,https://www.mpcb.gov.in/en/consentmgt/water-and-air-act,SRC-002,2026-09-10,Applies once the brewery plant and required pollution-control systems have been established (i.e. after Consent to Establish).
FIRE-PROVISIONAL-001,Provisional Fire Approval / Provisional No-Objection Certificate,brewery,Maharashtra Fire & Emergency Services,AUTH-FIRE,Required for the proposed industrial building/activity's fire safety clearance prior to construction/operation.,"{""all"":[{""field"":""industry"",""op"":""equals"",""value"":""brewery""},{""field"":""state"",""op"":""equals"",""value"":""Maharashtra""}]}",DOC-012;DOC-030,,yes — can proceed alongside MPCB/Excise document assembly,unknown — plausible but not explicitly confirmed by retrieved source,unknown,unknown,https://mahafireservice.gov.in/e-fire.php,SRC-004,2026-09-10,Applies where fire approval or provisional NOC is required for the proposed industrial building or activity; competent authority (state directorate vs local fire dept) varies by site jurisdiction.
FIRE-FINAL-001,Final Fire No-Objection Certificate,brewery,Maharashtra Fire & Emergency Services,AUTH-FIRE,Required after construction or modification of the industrial building for final fire clearance.,"{""all"":[{""field"":""industry"",""op"":""equals"",""value"":""brewery""},{""field"":""state"",""op"":""equals"",""value"":""Maharashtra""}]}",DOC-013;DOC-014,Approved planning-authority drawings; compliance inspection against provisional NOC recommendations (if a provisional NOC was previously issued).,"no — sequential, after construction",yes — explicit compliance/final inspection document required,unknown,unknown,https://mahafireservice.gov.in/e-fire.php,SRC-004,2026-09-10,Applies after construction or modification of the industrial building where final fire clearance is required.
DISH-PLAN-001,Approval of Factory Plan,brewery,Labour Department (DISH),AUTH-DISH,"Required under the Factories Act, 1948 and Maharashtra Factories Rules, 1963 for a proposed factory plan.","{""all"":[{""field"":""industry"",""op"":""equals"",""value"":""brewery""},{""field"":""state"",""op"":""equals"",""value"":""Maharashtra""}]}",DOC-015,,unknown,unknown,unknown,unknown,https://labour.maharashtra.gov.in/en/services,SRC-005,2026-09-10,"High confidence on service existence, low confidence on document checklist.
Applies to a proposed factory plan; detailed document checklist was not retrieved in this research pass — treat the document list as incomplete."
DISH-LICENCE-001,Factory Registration and Grant of Factory Licence,brewery,Labour Department (DISH),AUTH-DISH,"Required where the brewery qualifies as a factory under the Factories Act, 1948 and Maharashtra Factories Rules, 1963.","Applies if the brewery is classified as a MAH/hazardous or other factory — classification depends on facts (hazardous substances, quantities, storage) not yet available in the BusinessProfile. Treat as needs_information until those facts are collected.",DOC-016,"Factory plan approval (DISH-PLAN-001) is suspected to precede this per standard Factories Act practice, but this sequencing was NOT explicitly confirmed by the retrieved source — see dependencies.csv (marked unknown, not depends_on).",unknown,unknown,"unknown — factory licences are commonly renewed annually in practice, but this was not confirmed by the retrieved source",unknown,https://labour.maharashtra.gov.in/en/services,SRC-005,2026-09-10,
FSSAI-LICENCE-001,FSSAI Food Business Licence or Registration,brewery,FSSAI,AUTH-FSSAI,"Beer manufacturing is treated as a food business activity under FSSAI's Food Safety and Standards (Alcoholic Beverages) Regulations, 2018.",Applies to any food business operator manufacturing alcoholic beverages including beer. Exact licence level (central/state) and document checklist depend on production capacity/turnover/business structure not yet in the BusinessProfile — treat as needs_information until known.,DOC-017,,yes — independent regulatory track from Excise/MPCB/Fire/DISH,unknown,yes — FSSAI licences are renewed periodically per standard practice; exact period not confirmed in this pass,unknown,https://foscos.fssai.gov.in/apply-for-lic-and-reg,SRC-006,2026-09-10,"See also SRC-007 for the Alcoholic Beverages Regulations, 2018 reference."
LM-PACKAGED-001,"Registration as Manufacturer/Packer under Legal Metrology (Packaged Commodities) Rules, 2011",brewery,Department of Consumer Affairs,AUTH-LM,Potentially required where beer is pre-packaged for retail sale and the business is the manufacturer/packer under Rule 27.,Applicability depends on whether beer is sold pre-packaged at retail and the specific packaging/distribution channel — bulk/institutional packaging may be treated differently. Treat as needs_information until the packaging model is known.,DOC-018,,yes,unknown,unknown,unknown,https://legalmetrology.maharashtra.gov.in/en/,SRC-008,2026-09-10,
EXCISE-LABEL-001,Excise Label / Brand Registration for Beer,brewery,Maharashtra State Excise Department,AUTH-EXCISE,"UNRESOLVED — the State Excise SCM portal exposes a label-registration system and a fee schedule for beer/wine brands, but the retrieved material does NOT establish this as a mandatory legal precondition for every Maharashtra brewery.",DO NOT mark as a mandatory required approval. Status: unknown/unconfirmed. Requires direct departmental confirmation before inclusion in a live applicant-facing roadmap.,,,unknown,unknown,unknown,unknown,https://scmexcise.mahaonline.gov.in/SCMMain.aspx,SRC-009,2026-09-10,"Exclude from the default applicant roadmap until confirmed. If shown at all, surface only as an informational note ('you may also want to check X with the department'), never as a required step."
